city_name,county_name,town_name,총세대수,연령구간세대수,20~24세,25~29세,30~34세,35~39세,남_총세대수,남_연령구간세대수,남_20~24세,남_25~29세,남_30~34세,남_35~39세,여_총세대수,여_연령구간세대수,여_20~24세,여_25~29세,여_30~34세,여_35~39세
서울시,종로구,청운동,190,48,2,15,21,10,68,24,1,7,12,4,122,24,1,8,9,6
서울시,종로구,신교동,245,88,7,33,27,21,85,39,3,13,15,8,160,49,4,20,12,13
서울시,종로구,궁정동,64,21,1,6,8,6,18,2,0,0,0,2,46,19,1,6,8,4
서울시,종로구,효자동,96,34,2,9,9,14,36,16,2,5,4,5,60,18,0,4,5,9
서울시,종로구,창성동,99,31,0,4,15,12,36,14,0,1,6,7,63,17,0,3,9,5
서울시,종로구,통의동,117,73,2,25,40,6,67,49,0,16,29,4,50,24,2,9,11,2
서울시,종로구,적선동,7,2,0,0,2,0,5,0,0,0,0,0,2,2,0,0,2,0
서울시,종로구,통인동,173,51,2,19,16,14,74,28,1,9,12,6,99,23,1,10,4,8
서울시,종로구,누상동,483,161,12,39,66,44,185,66,4,14,32,16,298,95,8,25,34,28
서울시,종로구,누하동,217,96,13,27,29,27,87,41,3,13,14,11,130,55,10,14,15,16
서울시,종로구,옥인동,400,163,12,44,61,46,150,72,4,16,30,22,250,91,8,28,31,24
서울시,종로구,체부동,222,77,8,18,34,17,99,35,2,8,20,5,123,42,6,10,14,12
서울시,종로구,필운동,280,99,7,37,37,18,121,40,2,12,17,9,159,59,5,25,20,9
서울시,종로구,내자동,35,7,1,1,4,1,12,2,0,1,1,0,23,5,1,0,3,1
서울시,종로구,사직동,537,158,18,41,54,45,213,79,8,21,30,20,324,79,10,20,24,25
서울시,종로구,도렴동,2,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0
서울시,종로구,당주동,51,5,0,1,2,2,18,4,0,1,1,2,33,1,0,0,1,0
서울시,종로구,내수동,831,461,14,120,206,121,292,162,3,35,90,34,539,299,11,85,116,87
서울시,종로구,세종로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울시,종로구,신문로1가,21,4,0,0,1,3,12,1,0,0,0,1,9,3,0,0,1,2
서울시,종로구,신문로2가,208,65,5,15,25,20,83,25,1,7,11,6,125,40,4,8,14,14
서울시,종로구,청진동,45,10,2,1,4,3,27,4,0,1,2,1,18,6,2,0,2,2
서울시,종로구,서린동,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
서울시,종로구,수송동,102,30,2,8,12,8,50,14,1,2,8,3,52,16,1,6,4,5
