법정동,전월세구분,건물용도,평당평균보증금(만원),평당평균임대료(만원),최대보증금(만원),최소보증금(만원),최대임대료(만원),최소임대료(만원)
가락동,월세,단독다가구,413.0,5.0,30000,0,200,2
가락동,월세,아파트,1315.0,5.0,130000,100,600,4
가락동,월세,연립다세대,854.0,6.0,37000,0,240,1
가락동,월세,오피스텔,313.0,7.0,30000,500,130,10
가락동,전세,단독다가구,1340.0,0.0,38000,5000,0,0
가락동,전세,아파트,3018.0,0.0,240000,14000,0,0
가락동,전세,연립다세대,2068.0,0.0,70000,6209,0,0
가락동,전세,오피스텔,2581.0,0.0,44100,11500,0,0
가리봉동,월세,단독다가구,222.0,7.0,20000,0,150,5
가리봉동,월세,아파트,194.0,5.0,5000,5000,120,120
가리봉동,월세,연립다세대,944.0,5.0,26250,100,125,3
가리봉동,월세,오피스텔,910.0,5.0,27000,1000,155,10
가리봉동,전세,단독다가구,1493.0,0.0,31000,500,0,0
가리봉동,전세,아파트,1436.0,0.0,38500,25000,0,0
가리봉동,전세,연립다세대,1477.0,0.0,25000,6825,0,0
가리봉동,전세,오피스텔,1290.0,0.0,31000,7950,0,0
가산동,월세,단독다가구,212.0,7.0,18000,50,100,2
가산동,월세,아파트,860.0,7.0,31000,0,165,2
가산동,월세,연립다세대,909.0,6.0,25000,100,135,3
가산동,월세,오피스텔,554.0,8.0,30000,200,120,2
가산동,전세,단독다가구,1595.0,0.0,21000,5000,0,0
가산동,전세,아파트,2389.0,0.0,52000,8500,0,0
가산동,전세,연립다세대,2550.0,0.0,31000,7000,0,0
가산동,전세,오피스텔,2586.0,0.0,32500,5202,2,0
가양동,월세,단독다가구,341.0,6.0,14500,300,170,3
가양동,월세,아파트,548.0,4.0,63000,0,280,1
가양동,월세,연립다세대,1071.0,4.0,27500,500,100,2
가양동,월세,오피스텔,508.0,7.0,30000,100,100,2
가양동,전세,단독다가구,1020.0,0.0,50000,8000,0,0
가양동,전세,아파트,1846.0,0.0,87000,2605,0,0
가양동,전세,연립다세대,2224.0,0.0,34010,7497,0,0
가양동,전세,오피스텔,2546.0,0.0,39000,9000,0,0
가회동,월세,단독다가구,560.0,4.0,30000,100,120,6
가회동,월세,연립다세대,200.0,7.0,15000,0,1000,53
가회동,전세,단독다가구,1467.0,0.0,35000,13000,0,0
갈월동,월세,단독다가구,335.0,5.0,20000,300,130,6
갈월동,월세,아파트,111.0,16.0,500,500,70,70
갈월동,월세,연립다세대,397.0,4.0,30000,500,170,7
갈월동,월세,오피스텔,242.0,8.0,10000,1000,95,52
갈월동,전세,단독다가구,1564.0,0.0,40000,8000,0,0
갈월동,전세,연립다세대,1475.0,0.0,45000,7600,0,0
갈월동,전세,오피스텔,2295.0,0.0,29000,19000,0,0
갈현동,월세,단독다가구,234.0,4.0,19000,100,110,8
