city_name,county_name,town_name,count,Group,score
경기,고양시 덕양구,지축동,1,D,4
경기,광명시,광명동,1,D,4
경기,광명시,철산동,1,D,4
경기,성남시 수정구,단대동,1,D,4
경기,성남시 수정구,복정동,1,D,4
경기,성남시 수정구,수진동,2,B,8
경기,성남시 수정구,신흥동,3,A,10
경기,의정부시,장암동,1,D,4
경기,하남시,덕풍동,2,B,8
경기,하남시,망월동,1,D,4
경기,하남시,창우동,1,D,4
서울,강남구,개포동,2,B,8
서울,강남구,논현동,3,A,10
서울,강남구,대치동,3,A,10
서울,강남구,도곡동,3,A,10
서울,강남구,삼성동,9,A,10
서울,강남구,수서동,2,B,8
서울,강남구,신사동,2,B,8
서울,강남구,압구정동,1,D,4
서울,강남구,역삼동,2,B,8
서울,강남구,일원동,3,A,10
서울,강남구,청담동,1,D,4
서울,강동구,고덕동,1,D,4
서울,강동구,길동,1,D,4
서울,강동구,둔촌동,3,A,10
서울,강동구,명일동,2,B,8
서울,강동구,상일동,2,B,8
서울,강동구,성내동,1,D,4
서울,강동구,암사동,1,D,4
서울,강동구,천호동,3,A,10
서울,강북구,미아동,2,B,8
서울,강북구,수유동,1,D,4
서울,강서구,공항동,1,D,4
서울,강서구,마곡동,2,B,8
서울,강서구,방화동,3,A,10
서울,강서구,화곡동,3,A,10
서울,관악구,봉천동,3,A,10
서울,관악구,신림동,1,D,4
서울,광진구,광장동,1,D,4
서울,광진구,구의동,2,B,8
서울,광진구,능동,3,A,10
서울,광진구,자양동,1,D,4
서울,광진구,중곡동,1,D,4
서울,광진구,화양동,3,A,10
서울,구로구,구로동,3,A,10
서울,구로구,신도림동,2,B,8
서울,구로구,온수동,1,D,4
서울,구로구,천왕동,1,D,4
서울,금천구,가산동,1,D,4
서울,노원구,공릉동,4,A,10
서울,노원구,상계동,6,A,10
서울,노원구,월계동,2,B,8
서울,노원구,중계동,1,D,4
서울,노원구,하계동,1,D,4
서울,도봉구,도봉동,1,D,4
서울,도봉구,창동,2,B,8
서울,동대문구,신설동,2,B,8
서울,동대문구,용두동,1,D,4
서울,동대문구,장안동,1,D,4
서울,동대문구,전농동,4,A,10
서울,동대문구,제기동,1,D,4
서울,동대문구,휘경동,2,B,8
서울,동작구,대방동,2,B,8
서울,동작구,동작동,1,D,4
서울,동작구,사당동,5,A,10
서울,동작구,상도1동,1,D,4
서울,동작구,상도동,2,B,8
서울,동작구,신대방동,1,D,4
서울,마포구,공덕동,2,B,8
서울,마포구,노고산동,2,B,8
서울,마포구,대흥동,1,D,4
서울,마포구,도화동,2,B,8
서울,마포구,동교동,2,B,8
서울,마포구,망원동,1,D,4
서울,마포구,상수동,1,D,4
서울,마포구,서교동,1,D,4
서울,마포구,성산동,2,B,8
서울,마포구,아현동,2,B,8
서울,마포구,염리동,1,D,4
서울,마포구,창전동,1,D,4
서울,마포구,합정동,1,D,4
서울,서대문구,남가좌동,1,D,4
서울,서대문구,신촌동,1,D,4
서울,서대문구,충정로3가,2,B,8
서울,서대문구,현저동,1,D,4
서울,서대문구,홍제동,2,B,8
서울,서초구,반포동,2,B,8
서울,서초구,방배동,3,A,10
서울,서초구,서초동,5,A,10
서울,서초구,잠원동,2,B,8
서울,성동구,금호동2가,1,D,4
서울,성동구,금호동4가,1,D,4
서울,성동구,마장동,1,D,4
서울,성동구,성수동1가,2,B,8
서울,성동구,성수동2가,1,D,4
서울,성동구,옥수동,2,B,8
서울,성동구,용답동,3,A,10
서울,성동구,응봉동,1,D,4
서울,성동구,하왕십리동,1,D,4
서울,성동구,행당동,6,A,10
서울,성북구,길음동,1,D,4
서울,성북구,동선동4가,1,D,4
서울,성북구,보문동1가,1,D,4
서울,성북구,삼선동1가,1,D,4
서울,성북구,상월곡동,1,D,4
서울,성북구,석관동,1,D,4
서울,성북구,안암동5가,1,D,4
서울,성북구,종암동,1,D,4
서울,성북구,하월곡동,1,D,4
서울,송파구,가락동,5,A,10
서울,송파구,거여동,1,D,4
서울,송파구,마천동,1,D,4
서울,송파구,문정동,1,D,4
서울,송파구,방이동,5,A,10
